Timestamp,IP,Requests Send,Requests Recieved,Responses Send,Responses Recieved
2021-11-24 19:55:14.304453,127.0.0.15,0,0,0,0
2021-11-24 19:55:44.309612,127.0.0.15,0,0,0,0
2021-11-24 19:56:14.348909,127.0.0.15,0,0,0,0
2021-11-24 19:56:44.376114,127.0.0.15,0,0,0,0
2021-11-24 19:57:14.389868,127.0.0.15,0,0,0,0
2021-11-24 19:57:44.446195,127.0.0.15,0,0,0,0
2021-11-24 19:58:14.459047,127.0.0.15,0,0,0,0
2021-11-24 19:58:44.469907,127.0.0.15,0,0,0,0
2021-11-24 19:59:14.530737,127.0.0.15,0,0,0,0
2021-11-24 19:59:44.551163,127.0.0.15,0,0,0,0
2021-11-24 20:00:14.641856,127.0.0.15,0,0,0,0
2021-11-24 20:01:07.010644,127.0.0.15,0,0,0,0
2021-11-24 20:01:37.064518,127.0.0.15,0,0,0,0
2021-11-24 20:02:07.097529,127.0.0.15,0,0,0,0
2021-11-24 20:02:37.105748,127.0.0.15,0,0,0,0
2021-12-01 17:02:17.458849,127.0.0.15,0,0,0,0
2021-12-01 17:02:47.575821,127.0.0.15,0,0,0,0
2021-12-01 17:03:17.668991,127.0.0.15,0,0,0,0
2021-12-01 17:04:09.536378,127.0.0.15,0,0,0,0
2021-12-01 17:04:39.628799,127.0.0.15,0,0,0,0
2021-12-01 17:05:09.666452,127.0.0.15,0,0,0,0
2021-12-01 17:05:39.720281,127.0.0.15,0,0,0,0
2021-12-01 17:06:09.788609,127.0.0.15,0,0,0,0
2021-12-01 17:06:39.852497,127.0.0.15,0,0,0,0
2021-12-01 17:07:10.000888,127.0.0.15,0,0,0,0
2021-12-01 17:07:40.044512,127.0.0.15,0,0,0,0
2021-12-01 17:08:10.167154,127.0.0.15,0,0,0,0
2021-12-01 17:08:40.218696,127.0.0.15,0,0,0,0
2021-12-01 21:19:27.338336,127.0.0.15,0,0,0,0
2021-12-01 21:21:22.918947,127.0.0.15,0,0,0,0
2021-12-01 21:21:52.979052,127.0.0.15,0,0,0,0
2021-12-01 21:22:51.268962,127.0.0.15,0,0,0,0
2021-12-01 21:23:21.336768,127.0.0.15,0,0,0,0
2021-12-01 21:23:51.385034,127.0.0.15,0,0,0,0
2021-12-01 21:24:21.442713,127.0.0.15,0,0,0,0
2021-12-01 21:24:51.495838,127.0.0.15,0,0,0,0
2021-12-01 21:25:21.554198,127.0.0.15,0,0,0,0
2021-12-01 21:25:51.665000,127.0.0.15,0,0,0,0
2021-12-01 21:28:14.924073,127.0.0.15,0,0,0,0
2021-12-01 21:29:24.478685,127.0.0.15,0,0,0,0
2021-12-01 21:29:54.536128,127.0.0.15,0,0,0,0
2021-12-01 21:30:24.656814,127.0.0.15,0,0,0,0
2021-12-01 21:30:54.911988,127.0.0.15,0,0,0,0
2021-12-01 21:33:45.246092,127.0.0.15,0,0,0,0
2021-12-01 21:34:15.309528,127.0.0.15,0,0,0,0
2021-12-01 21:34:45.331398,127.0.0.15,0,0,0,0
2021-12-01 21:41:46.583153,127.0.0.15,0,0,0,0
2021-12-01 21:42:16.661539,127.0.0.15,0,0,0,0
2021-12-01 21:42:46.732084,127.0.0.15,0,0,0,0
2021-12-01 21:43:16.812323,127.0.0.15,0,0,0,0
2021-12-01 21:43:46.848237,127.0.0.15,0,0,0,0
2021-12-01 21:44:16.897924,127.0.0.15,0,0,0,0
2021-12-01 21:44:46.917064,127.0.0.15,0,0,0,0
2021-12-01 21:45:16.943540,127.0.0.15,0,0,0,0
2021-12-01 21:45:46.965940,127.0.0.15,0,0,0,0
2021-12-01 21:46:16.995442,127.0.0.15,0,0,0,0
2021-12-01 21:46:47.026404,127.0.0.15,0,0,0,0
2021-12-01 21:47:17.082448,127.0.0.15,0,0,0,0
2021-12-01 21:47:47.131323,127.0.0.15,0,0,0,0
2021-12-01 21:48:17.167051,127.0.0.15,0,0,0,0
2021-12-01 21:48:47.188926,127.0.0.15,0,0,0,0
2021-12-01 21:49:17.258550,127.0.0.15,0,0,0,0
2021-12-01 21:49:47.315709,127.0.0.15,0,0,0,0
2021-12-01 21:50:17.339177,127.0.0.15,0,0,0,0
2021-12-01 21:50:47.347867,127.0.0.15,0,0,0,0
2021-12-01 21:51:17.370322,127.0.0.15,0,0,0,0
2021-12-01 21:51:47.408223,127.0.0.15,0,0,0,0
2021-12-01 21:52:17.435225,127.0.0.15,0,0,0,0
2021-12-01 21:52:47.465415,127.0.0.15,0,0,0,0
2021-12-01 21:53:17.510785,127.0.0.15,0,0,0,0
2021-12-01 21:53:47.521006,127.0.0.15,0,0,0,0
2021-12-01 21:54:17.537915,127.0.0.15,0,0,0,0
2021-12-01 21:54:47.559009,127.0.0.15,0,0,0,0
2021-12-01 21:55:17.590921,127.0.0.15,0,0,0,0
2021-12-01 21:55:47.608642,127.0.0.15,0,0,0,0
2021-12-01 21:56:17.644939,127.0.0.15,0,0,0,0
2021-12-01 21:56:47.673084,127.0.0.15,0,0,0,0
2021-12-01 21:57:17.717046,127.0.0.15,0,0,0,0
2021-12-01 21:57:47.737092,127.0.0.15,0,0,0,0
2021-12-01 21:58:17.768446,127.0.0.15,0,0,0,0
2021-12-01 21:58:47.835794,127.0.0.15,0,0,0,0
2021-12-01 21:59:17.879897,127.0.0.15,0,0,0,0
2021-12-01 21:59:47.968055,127.0.0.15,0,0,0,0
2021-12-01 22:00:18.017314,127.0.0.15,0,0,0,0
2021-12-01 22:00:48.049087,127.0.0.15,0,0,0,0
2021-12-01 22:01:18.110809,127.0.0.15,0,0,0,0
2021-12-01 22:01:48.154803,127.0.0.15,0,0,0,0
2021-12-01 22:02:18.208060,127.0.0.15,0,0,0,0
2021-12-01 22:02:48.242085,127.0.0.15,0,0,0,0
2021-12-01 22:03:18.271434,127.0.0.15,0,0,0,0
2021-12-01 22:03:48.333022,127.0.0.15,0,0,0,0
2021-12-01 22:04:18.349643,127.0.0.15,0,0,0,0
2021-12-01 22:04:48.373605,127.0.0.15,0,0,0,0
2021-12-01 22:05:18.396573,127.0.0.15,0,0,0,0
2021-12-01 22:05:48.422571,127.0.0.15,0,0,0,0
2021-12-01 22:06:18.449421,127.0.0.15,0,0,0,0
2021-12-01 22:06:48.474928,127.0.0.15,0,0,0,0
2021-12-01 22:07:18.501497,127.0.0.15,0,0,0,0
2021-12-01 22:07:48.538721,127.0.0.15,0,0,0,0
2021-12-01 22:08:18.575555,127.0.0.15,0,0,0,0
2021-12-01 22:08:48.661614,127.0.0.15,0,0,0,0
2021-12-01 22:09:18.685420,127.0.0.15,0,0,0,0
2021-12-01 22:09:48.729509,127.0.0.15,0,0,0,0
2021-12-01 22:10:18.797169,127.0.0.15,0,0,0,0
2021-12-01 22:10:48.873602,127.0.0.15,0,0,0,0
2021-12-02 00:13:11.910693,127.0.0.15,0,0,0,0
2021-12-02 00:19:22.635191,127.0.0.15,1,1,0,1
2021-12-02 00:20:25.908187,127.0.0.15,3,3,0,3
2021-12-02 00:26:47.643467,127.0.0.15,5,5,0,5
2021-12-02 00:27:45.969013,127.0.0.15,6,6,0,6
2021-12-02 00:28:16.227745,127.0.0.15,6,6,0,6
2021-12-02 00:34:11.746375,127.0.0.15,6,6,0,6
2021-12-02 00:34:41.909141,127.0.0.15,6,6,0,6
